"wl","Sargassum","Fucus vesiculosus","Zostera marina","Sand (Dark)","Mud","Posidonia oceanica","coral","Sand (Bright)","Zostera noltei"
572,0.04365044956,0.027,0.0573202614379085,0.340274066,0.123362995666667,0.080298528,0.199146,0.38499946349717,0.0733269459251311
573,0.04399092856,0.027,0.0566688311688312,0.3410896215,0.123752163333333,0.079623675,0.200454,0.385837341344915,0.0729745983771925
574,0.04425838824,0.027,0.0560194805194805,0.341905177,0.124134124,0.079127946,0.201762,0.386659347806268,0.0726234359678354
575,0.04445186132,0.027,0.0553660130718954,0.34275797,0.124499904666667,0.078631541,0.20307,0.387528967788961,0.0722968431467221
576,0.04457837724,0.027,0.055,0.343657091,0.124856783,0.078146712,0.20311,0.38841901526787,0.0719901569629922
577,0.04464275212,0.027,0.055,0.344556212,0.125204759,0.077676138,0.20315,0.389249064697568,0.0716914772764724
578,0.04465032488,0.027,0.0544090909090909,0.345527858,0.125533729,0.077238002,0.20319,0.390072499562033,0.0714096072359739
579,0.04460393304,0.027,0.0537581699346405,0.346462548,0.125852282666667,0.076815615,0.20323,0.390890091689973,0.0711516435821722
580,0.04450996936,0.027,0.0531045751633987,0.347397238,0.12616042,0.076423712,0.20327,0.391678717687401,0.0709334978540259
581,0.04437712128,0.027,0.053,0.348295033,0.126447178666667,0.076078937,0.202734,0.39246726967216,0.0707281749511639
582,0.04422025628,0.027,0.0528039215686275,0.349201903,0.126722855333333,0.075762407,0.202198,0.393257518529062,0.0705231607268224
583,0.04406001816,0.027,0.0521503267973856,0.350108773,0.12698745,0.075457271,0.201662,0.394042489458273,0.070328564925385
584,0.04392527276,0.027,0.052,0.350932896,0.127230308666667,0.075153204,0.201126,0.394809184414441,0.0701442824788402
585,0.04384720724,0.0268496732026144,0.052,0.351506382,0.127462439333333,0.074905964,0.20059,0.395539265877162,0.0699717198265113
586,0.04385173932,0.0261960784313725,0.052,0.352079868,0.127683842,0.074666541,0.200328,0.396250351745429,0.0697896261342397
587,0.043961152,0.026,0.0515454545454545,0.352609843,0.12788413,0.074425527,0.200066,0.396954592313323,0.0695885331433567
588,0.04418446936,0.026,0.051,0.352891609,0.128074237,0.074198337,0.199804,0.397618359735339,0.0694060706427134
589,0.04452122552,0.026,0.051,0.353173375,0.128254163,0.073954913,0.199542,0.398336846873398,0.0692536227841282
590,0.04495813508,0.026,0.051,0.353207707,0.128347758333333,0.073710897,0.19928,0.399174530424673,0.0691288449572779
591,0.04547369304,0.026,0.0509411764705882,0.3533017635,0.128469389666667,0.073527452,0.200022,0.400002164430238,0.0690066415089725
592,0.04604116764,0.026,0.0502875816993464,0.35339582,0.128619057,0.073361004,0.200764,0.40076896019178,0.0688975051096042
593,0.04663953604,0.026,0.05,0.353747904,0.128750346333333,0.073197213,0.201506,0.401505185276773,0.0688245345491854
594,0.0472449554,0.026,0.05,0.3540888425,0.128873155,0.073021532,0.202248,0.402213187800624,0.0687568336835086
595,0.0478382156,0.026,0.05,0.354429781,0.128987483,0.072862455,0.20299,0.402878312694576,0.0686710691615504
596,0.0484014496,0.026,0.05,0.354682863,0.129086645666667,0.072751769,0.204722,0.403633638086421,0.0686153343104551
597,0.04891089972,0.026,0.05,0.3553153875,0.129179326666667,0.072699572,0.206454,0.404423497091707,0.0685723667268002
598,0.04933647604,0.026,0.0493790849673203,0.355947912,0.129265526,0.072571797,0.208186,0.40515718727328,0.068495701543324
599,0.04964792404,0.026,0.049,0.356696039,0.129340714,0.072412197,0.209918,0.405899537040674,0.068418994200549
600,0.0498132002,0.026,0.049,0.357227057,0.129411359666667,0.072237644,0.21165,0.406651961457033,0.0683490586367466
